iter	RMSE
0	14.75577687
1	14.41917724
2	14.0375032
3	13.65996087
4	13.30734765
5	12.97015537
6	12.66572549
7	12.35458906
8	12.06022402
9	11.77066506
10	11.49552474
11	11.25720074
12	11.0459088
13	10.80947979
14	10.57150027
15	10.33894548
16	10.11527291
17	9.897846038
18	9.685042061
19	9.501550581
20	9.333532072
21	9.167029992
22	9.000830469
23	8.847199191
24	8.689451588
25	8.550263122
26	8.407971657
27	8.283829522
28	8.167908437
29	8.043179128
30	7.944685908
31	7.823433133
32	7.708979115
33	7.615441186
34	7.508912939
35	7.415769158
36	7.321657011
37	7.241370635
38	7.153997118
39	7.070518166
40	6.989530945
41	6.912399556
42	6.833008304
43	6.768844464
44	6.706319237
45	6.646460075
46	6.582837294
47	6.527648155
48	6.463510034
49	6.404044787
50	6.353481296
51	6.300129341
52	6.253461759
53	6.203459653
54	6.160630652
55	6.119034972
56	6.08067659
57	6.042860928
58	6.009334853
59	5.981815566
60	5.951414919
61	5.914426205
62	5.884078145
63	5.85061309
64	5.822941675
65	5.78914931
66	5.760396121
67	5.732001863
68	5.710221405
69	5.684824845
70	5.658960048
71	5.63855166
72	5.616131853
73	5.59093265
74	5.571342319
75	5.550805087
76	5.53424058
77	5.519585361
78	5.499659601
79	5.482796496
80	5.467605785
81	5.453485366
82	5.437496963
83	5.424381095
84	5.414294774
85	5.39503261
86	5.378426444
87	5.367752594
88	5.355921101
89	5.340349501
90	5.327818335
91	5.317296537
92	5.304794598
93	5.298323126
94	5.287573139
95	5.278186572
96	5.271345699
97	5.261583053
98	5.25384228
99	5.244023966
100	5.23379241
101	5.224370426
102	5.21193748
103	5.205107645
104	5.198516539
105	5.19129003
106	5.180254675
107	5.172308751
108	5.163900814
109	5.15469967
110	5.142938526
111	5.135445335
112	5.125800224
113	5.115589619
114	5.112718164
115	5.108025247
116	5.102512806
117	5.094019787
118	5.090329143
119	5.082607609
120	5.079546481
121	5.069011213
122	5.063739424
123	5.058381231
124	5.049088984
125	5.045110697
126	5.039977056
127	5.034639812
128	5.029494613
129	5.02147854
130	5.017168751
131	5.011372351
132	5.006500031
133	4.999162313
134	4.994175606
135	4.991925465
136	4.986472308
137	4.982516498
138	4.980455504
139	4.97437559
140	4.973859593
141	4.969618523
142	4.964623651
143	4.958945769
144	4.954425306
145	4.952175576
146	4.949061158
147	4.944534973
148	4.939996676
149	4.93754585
150	4.933588593
151	4.928861989
152	4.922849504
153	4.918076576
154	4.916990294
155	4.914474438
156	4.909673217
157	4.906795449
158	4.902438172
159	4.899947141
160	4.896771998
161	4.894441566
162	4.89209845
163	4.888847488
164	4.883482611
165	4.876949601
166	4.873482384
167	4.870366146
168	4.867922132
169	4.863555198
170	4.859625231
171	4.854462724
172	4.846896358
173	4.843642625
174	4.840667946
175	4.837252067
176	4.835651198
177	4.831285395
178	4.824703951
179	4.819426754
180	4.81594618
181	4.811502887
182	4.810808006
183	4.806617859
184	4.803934162
185	4.800069424
186	4.797303236
187	4.793589091
188	4.789382547
189	4.785852108
190	4.783353626
191	4.781348786
192	4.777375617
193	4.774106221
194	4.771172329
195	4.768385113
196	4.762392272
197	4.758752397
198	4.757238289
199	4.752323647
200	4.749118519
201	4.745616721
202	4.743150842
203	4.74161515
204	4.737523685
205	4.733840113
206	4.731638148
207	4.725098676
208	4.721930673
209	4.719531165
210	4.716478227
211	4.712766426
212	4.711125522
213	4.709212058
214	4.707199738
215	4.706536866
216	4.70296647
217	4.700803001
218	4.699549838
219	4.695406119
220	4.693180132
221	4.688636443
222	4.684604898
223	4.681312197
224	4.674529714
225	4.67009437
226	4.664179484
227	4.662524677
228	4.66051799
229	4.656230446
230	4.653192093
231	4.651807768
232	4.647992569
233	4.647161691
234	4.64301735
235	4.63946912
236	4.637888147
237	4.634367682
238	4.630187926
239	4.626762271
240	4.62404222
241	4.619289347
242	4.613794746
243	4.611014635
244	4.610214318
245	4.606881464
246	4.603162009
247	4.599334696
248	4.598581171
249	4.595074286
250	4.593590947
251	4.590563626
252	4.586261845
253	4.584171482
254	4.579451167
255	4.575877094
256	4.571429281
257	4.570753576
258	4.567554223
259	4.566926808
260	4.56107286
261	4.557582115
262	4.556155799
263	4.554489586
264	4.553823675
265	4.552649788
266	4.546110604
267	4.544812551
268	4.540876398
269	4.534833193
270	4.531631373
271	4.526366828
272	4.525667701
273	4.522894606
274	4.517806449
275	4.511808378
276	4.50489456
277	4.501570064
278	4.500942341
279	4.498404143
280	4.49361832
281	4.493009786
282	4.48905697
283	4.486818431
284	4.481485068
285	4.480903886
286	4.475862429
287	4.473626597
288	4.47176453
289	4.469679963
290	4.465228977
291	4.459455673
292	4.455201823
293	4.45472651
294	4.454261432
295	4.45018005
296	4.449633889
297	4.443848331
298	4.441607995
299	4.438244833
300	4.437039754
301	4.432230623
302	4.429001005
303	4.426178506
304	4.421768025
305	4.416240907
306	4.411505558
307	4.409248238
308	4.407292475
309	4.405901058
310	4.402745031
311	4.396654865
312	4.395518037
313	4.395061847
314	4.394549894
315	4.389499087
316	4.384650686
317	4.384127717
318	4.381857907
319	4.378095472
320	4.373285467
321	4.371511394
322	4.36934722
323	4.366884418
324	4.364080694
325	4.363666678
326	4.360516311
327	4.355685277
328	4.355214383
329	4.354825976
330	4.353172025
331	4.350045231
332	4.345077235
333	4.340990049
334	4.336494688
335	4.331429867
336	4.327397074
337	4.325796591
338	4.319663592
339	4.319204031
340	4.314494656
341	4.309135068
342	4.30591894
343	4.301052644
344	4.298213449
345	4.297852197
346	4.295040529
347	4.288838875
348	4.288375327
349	4.28315775
350	4.277883908
351	4.274749756
352	4.271754005
353	4.269610021
354	4.264601249
355	4.26106949
356	4.258531176
357	4.25665737
358	4.254827557
359	4.250478
360	4.246434414
361	4.243395809
362	4.241278087
363	4.240857045
364	4.237365064
365	4.235668925
366	4.233955599
367	4.23232982
368	4.230124293
369	4.229022468
370	4.228605251
371	4.227096084
372	4.222833628
373	4.219404227
374	4.217189148
375	4.212820005
376	4.210962563
377	4.206645927
378	4.205317656
379	4.202534335
380	4.201518896
381	4.197686152
382	4.194147171
383	4.193032584
384	4.189493512
385	4.188136933
386	4.187763543
387	4.181904481
388	4.178334307
389	4.174757186
390	4.170252138
391	4.16986509
392	4.166473587
393	4.164750956
394	4.16288861
395	4.15972804
396	4.15554136
397	4.155194905
398	4.151791584
399	4.148415455
400	4.147100255
401	4.144938927
402	4.139538897
403	4.135406016
404	4.134830766
405	4.131176169
406	4.124785687
407	4.122711273
408	4.11839271
409	4.116586773
410	4.114619432
411	4.109758337
412	4.106177901
413	4.104225053
414	4.103331228
415	4.100135912
416	4.097258781
417	4.095399732
418	4.092442582
419	4.088611807
420	4.08574379
421	4.08211961
422	4.08018179
423	4.077158548
424	4.076884253
425	4.073369274
426	4.071856685
427	4.070763611
428	4.065384457
429	4.062503823
