iter	Passed	Remaining
0	189	188861
1	190	95219
2	212	70555
3	217	54060
4	218	43481
5	219	36337
6	220	31224
7	220	27389
8	221	24408
9	222	22025
10	224	20154
11	225	18525
12	225	17149
13	226	15972
14	227	14948
15	228	14046
16	229	13266
17	230	12597
18	232	11994
19	233	11440
20	234	10939
21	235	10483
22	238	10110
23	239	9736
24	240	9366
25	240	9023
26	241	8705
27	242	8415
28	243	8140
29	243	7883
30	244	7644
31	245	7419
32	245	7208
33	246	7009
34	247	6821
35	248	6643
36	248	6475
37	250	6333
38	250	6184
39	251	6041
40	252	5905
41	253	5776
42	253	5652
43	254	5536
44	255	5423
45	256	5314
46	256	5210
47	257	5110
48	258	5015
49	259	4924
50	259	4836
51	260	4752
52	261	4671
53	262	4603
54	264	4537
55	264	4464
56	265	4393
57	266	4324
58	266	4258
59	267	4194
60	268	4132
61	269	4074
62	270	4017
63	270	3961
64	271	3907
65	272	3854
66	273	3802
67	273	3753
68	274	3704
69	275	3659
70	276	3620
71	277	3577
72	278	3534
73	279	3492
74	279	3451
75	280	3412
76	281	3373
77	282	3335
78	282	3297
79	283	3261
80	284	3226
81	285	3191
82	285	3158
83	286	3125
84	287	3093
85	288	3062
86	288	3031
87	290	3012
88	292	2990
89	292	2961
90	293	2935
91	294	2908
92	295	2882
93	296	2853
94	296	2828
95	297	2803
96	298	2778
97	299	2753
98	299	2729
99	300	2706
100	301	2683
101	302	2661
102	303	2640
103	304	2620
104	305	2600
105	305	2579
106	306	2558
107	307	2538
108	308	2518
109	308	2498
110	309	2479
111	310	2460
112	311	2442
113	311	2424
114	312	2406
115	313	2388
116	314	2370
117	314	2353
118	315	2336
119	316	2320
120	317	2306
121	318	2294
122	320	2283
123	321	2271
124	322	2256
125	323	2241
126	323	2226
127	324	2211
128	325	2197
129	326	2182
130	326	2169
131	327	2155
132	328	2141
133	329	2128
134	330	2114
135	330	2100
136	331	2090
137	333	2083
138	334	2071
139	335	2059
140	335	2044
